Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
IGBT ED3 1200V450A_Characteristics Values,Output capacitance,"f = 100KHz, VCE = 25V, Tj = 25°C",Coes,,,2.9,,nF,,,,
IGBT ED3 1200V450A_Characteristics Values,Reverse transfer capacitance,"f = 100KHz, VCE = 25V, Tj = 25°C",Cres,,,1.3,,nF,,,,
IGBT ED3 1200V450A_Characteristics Values,"Turn-on delay time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 25°C",td(on),,,0.15,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Turn-on delay time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 125°C",td(on),,,0.16,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Turn-on delay time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 150°C",td(on),,,0.17,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Rise time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 25°C",tr,,,0.07,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Rise time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 125°C",tr,,,0.08,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Rise time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 150°C",tr,,,0.09,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-on energy loss per pulse,"IC = 450A, VCE = 600V,LS = 25 nH,VGE = -15V / + 15V,RG,on = 1.5 Ω, Tj = 25°C",Eon,,,34.5,,mJ,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-on energy loss per pulse,"IC = 450A, VCE = 600V,LS = 25 nH,VGE = -15V / + 15V,RG,on = 1.5 Ω, Tj = 125°C",Eon,,,49.5,,mJ,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-on energy loss per pulse,"IC = 450A, VCE = 600V,LS = 25 nH,VGE = -15V / + 15V,RG,on = 1.5 Ω, Tj = 150°C",Eon,,,56.5,,mJ,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-on energy loss per pulse,di/dt = 3.9 A/ns (25°C),,,,,,,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-on energy loss per pulse,di/dt = 3.9 A/ns (150°C),,,,,,,,,,
IGBT ED3 1200V450A_Characteristics Values,"Turn-off delay time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V,RG,off = 1.5 Ω, Tj = 25°C",td(off),,,0.47,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Turn-off delay time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V,RG,off = 1.5 Ω, Tj = 125°C",td(off),,,0.51,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Turn-off delay time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V,RG,off = 1.5 Ω, Tj = 150°C",td(off),,,0.53,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Fall time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V,RG,off = 1.5 Ω, Tj = 25°C",tf,,,0.17,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Fall time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V,RG,off = 1.5 Ω, Tj = 125°C",tf,,,0.39,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,"Fall time, inductive load","IC = 450A, VCE = 600V,VGE = -15V / + 15V,RG,off = 1.5 Ω, Tj = 150°C",tf,,,0.4,,μs,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-off energy loss per pulse,"IC = 450A, VCE = 600V,LS = 25 nH,VGE = -15V / + 15V,RG,off = 1.5 Ω,Tj = 25°C",Eoff,,,38.5,,mJ,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-off energy loss per pulse,"IC = 450A, VCE = 600V,LS = 25 nH,VGE = -15V / + 15V,RG,off = 1.5 Ω,dv/dt = 5.0 V/ns (25°C),dv/dt = 3.7 V/ns (150°C), Tj = 125°C",Eoff,,,53,,mJ,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-off energy loss per pulse,"IC = 450A, VCE = 600V,LS = 25 nH,VGE = -15V / + 15V,RG,off = 1.5 Ω,dv/dt = 5.0 V/ns (25°C),dv/dt = 3.7 V/ns (150°C), Tj = 150°C",Eoff,,,60,,mJ,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-off energy loss per pulse,dv/dt = 5.0 V/ns (25°C),Eoff,,,,,mJ,,,,
IGBT ED3 1200V450A_Characteristics Values,Turn-off energy loss per pulse,dv/dt = 3.7 V/ns (150°C),Eoff,,,,,mJ,,,,
IGBT ED3 1200V450A_Characteristics Values,Short circuit current,"VGE = -15V / +15V,VCC = 800V,RG,on = 1.5 Ω,RG,off = 1.5 Ω,tp = 10 μs, Tj = 150°C",ISC,,,1800,,A,,,,
IGBT ED3 1200V450A_Characteristics Values,"Thermal resistance, junction to case",Per IGBT ,"Rth,JC",,,,0.07,K/W,,,,
IGBT ED3 1200V450A_Characteristics Values,Operated temperature condition,,"Tj,op",,-40,,150,˚C,,,,
IGBT ED3 1200V450A_DIODE_Maximum Rated Values,Repetitive peak reverse voltage,Tj = 25°C,VRRM,1200,,,,V,孫小美,2024070211580100,,v0702_1
IGBT ED3 1200V450A_DIODE_Maximum Rated Values,Continuous DC forward current,"TC = 85°C, Tj,max= 175°C",IF,450,,,,A,,,,
IGBT ED3 1200V450A_DIODE_Maximum Rated Values,Repetitive peak forward current,"Verified by design, tp limited by Tj,max",IFRM,900,,,,A,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Forward voltage,"IF = 450A, VGE = 0V, Tj = 25°C",VF,,,1.9,2.2,V,金貝貝,2024070211580100,,v0702_1
IGBT ED3 1200V450A_DIODE_Characteristics Values,Forward voltage,"IF = 450A, VGE = 0V, Tj = 125°C",VF,,,2,2.2,V,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Forward voltage,"IF = 450A, VGE = 0V, Tj = 150°C",VF,,,2,2.2,V,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Peak reverse recovery current,"IF = 450A, VR = 600V, VGE = -15V, Tj = 25°C",IRM,,,200,,A,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Peak reverse recovery current,"IF = 450A, VR = 600V, VGE = -15V, Tj = 125°C",IRM,,,225,,A,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Peak reverse recovery current,"IF = 450A, VR = 600V, VGE = -15V, Tj = 150°C",IRM,,,235,,A,,,,
IGBT ED3 1200V451A_DIODE_Characteristics Values,Peak reverse recovery current,–diF/dt = 4.0 A/ns (25°C),IRM,,,,,A,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Peak reverse recovery current,–diF/dt = 3.6 A/ns (150°C),IRM,,,,,A,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Recovered charge,"IF = 450A, VR = 600V,Tj = 25°C",Qrr,,,17.5,,μC,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Recovered charge,"VGE = -15V,Tj = 125°C",Qrr,,,46,,μC,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Recovered charge,"–diF/dt = 4.0 A/ns (25°C), Tj = 150°C",Qrr,,,55,,μC,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Recovered charge,–diF/dt = 3.6 A/ns (150°C),Qrr,,,,,μC,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Reverse recovery energy,"IF = 450A, VR = 600V, VGE = -15V, Tj = 25°C",Erec,,,3.4,,mJ,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Reverse recovery energy,"IF = 450A, VR = 600V, VGE = -15V, Tj = 125°C",Erec,,,13.6,,mJ,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Reverse recovery energy,"IF = 450A, VR = 600V, VGE = -15V, Tj = 150°C",Erec,,,17.5,,mJ,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Reverse recovery energy,–diF/dt = 4.0 A/ns (25°C),Erec,,,,,mJ,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,Reverse recovery energy,–diF/dt = 3.6 A/ns (150°C),Erec,,,,,mJ,,,,
IGBT ED3 1200V450A_DIODE_Characteristics Values,"Thermal resistance, junction to case",Per Diode; ,"Rth,JC",,,,0.095,K/W,,,,
IGBT ED3 1200V450A_NTC-Thermistor,Rated resistance,Tc = 25°C,R25,,,5,,kΩ,鴨立大,2024070211580100,,v0702_1
IGBT ED3 1200V450A_NTC-Thermistor,Resistance tolerance,"Tc = 100°C, R100=493Ω",ΔR/R,,-5,,5,%,,,,
IGBT ED3 1200V450A_NTC-Thermistor,B-value,R2 = R25 exp [B25/50(1/T2 – 1/(298 K))],B25/50,,,3375,,K,,,,
IGBT ED3 1200V450A_NTC-Thermistor,B-value,R2 = R25 exp [B25/80(1/T2 – 1/(298 K))],B25/80,,,3411,,K,,,,
IGBT ED3 1200V450A_NTC-Thermistor,B-value,R2 = R25 exp [B25/100(1/T2 – 1/(298 K))],B25/100,,,3433,,K,,,,
IGBT ED3 1200V450A_Module,Isolation test voltage,"RMS, f = 0 Hz, t = 1 min",VISOL,2.5,,,,kV,部佳斑,2024070211580100,,v0702_1
IGBT ED3 1200V450A_Module,Module baseplate material,,,Cu + Ni,,,,,,,,
IGBT ED3 1200V450A_Module,Module internal isolation material,"Basic isolation (class 1, IEC 61140)",,Al2O3,,,,,,,,
IGBT ED3 1200V450A_Module,Creepage distance,Terminal to heatsink,"dCreep,TH",14.5,,,,mm,,,,
IGBT ED3 1200V450A_Module,Creepage distance,Terminal to terminal,"dCreep,TT",13,,,,mm,,,,
IGBT ED3 1200V450A_Module,Clearance distance,Terminal to heatsink,"dCreep,TH",12.5,,,,mm,,,,
IGBT ED3 1200V450A_Module,Clearance distance,Terminal to terminal,"dCreep,TT",10,,,,mm,,,,
IGBT ED3 1200V450A_Module,Comparative tracking index 1),,CTI,> 200,,,,,,,,
IGBT ED3 1200V450A_Module,,,,,,,,,,,,
IGBT ED3 1200V450A_Module,Module stray inductance,,LsCE,,,18,,nH,,,,
IGBT ED3 1200V450A_Module,Storage temperature,,Tstg,,-40,,125,°C,,,,
IGBT ED3 1200V450A_Module,Mounting torque for module,Screw M5 - Mounting according to valid application note,M,,3,,6,Nm,,,,
IGBT ED3 1200V450A_Module,mounting,Screw M5 - Mounting according to valid application note,,,3,,6,Nm,,,,
IGBT ED3 1200V450A_Module,Terminal connection torque,Screw M6 - Mounting according to valid application note,M,,3,,6,Nm,,,,
IGBT ED3 1200V450A_Module,Weight,,G,,,340,, g,,,,
