Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
IGBT ED3 1200V600A_DIODE_Characteristics Values,Reverse recovery energy,"IF = 600A, VR = 600V, VGE = -15V, Tj = 125°C",Erec,,,12.5,,mJ,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Reverse recovery energy,"IF = 600A, VR = 600V, VGE = -15V, Tj = 150°C",Erec,,,16,,mJ,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Reverse recovery energy,–diF/dt = 5.8 A/ns (25°C),Erec,,,,,mJ,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Reverse recovery energy,–diF/dt = 5.5 A/ns (150°C),Erec,,,,,mJ,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,"Thermal resistance, junction to case",Per Diode; ,"Rth,JC",,,,0.075,K/W,,,,
IGBT ED3 1200V600A_NTC-Thermistor,Rated resistance,Tc = 25°C,R25,,,5,,kΩ,鴨立大,2024070211580100,,v0702_1
IGBT ED3 1200V600A_NTC-Thermistor,Resistance tolerance,"Tc = 100°C, R100=493Ω",ΔR/R,,-5,,5,%,,,,
IGBT ED3 1200V600A_NTC-Thermistor,B-value,R2 = R25 exp [B25/50(1/T2 – 1/(298 K))],B25/50,,,3375,,K,,,,
IGBT ED3 1200V600A_NTC-Thermistor,B-value,R2 = R25 exp [B25/80(1/T2 – 1/(298 K))],B25/80,,,3411,,K,,,,
IGBT ED3 1200V600A_NTC-Thermistor,B-value,R2 = R25 exp [B25/100(1/T2 – 1/(298 K))],B25/100,,,3433,,K,,,,
IGBT ED3 1200V600A_Module,Isolation test voltage,"RMS, f = 0 Hz, t = 1 min",VISOL,2.5,,,,kV,部佳斑,2024070211580100,,v0702_1
IGBT ED3 1200V600A_Module,Module baseplate material,,,Cu + Ni,,,,,,,,
IGBT ED3 1200V600A_Module,Module internal isolation material,"Basic isolation (class 1, IEC 61140)",,Al2O3,,,,,,,,
IGBT ED3 1200V600A_Module,Creepage distance,Terminal to heatsink,"dCreep,TH",14.5,,,,mm,,,,
IGBT ED3 1200V600A_Module,Creepage distance,Terminal to terminal,"dCreep,TT",13,,,,mm,,,,
IGBT ED3 1200V600A_Module,Clearance distance,Terminal to heatsink,"dClear,TH",12.5,,,,mm,,,,
IGBT ED3 1200V600A_Module,Clearance distance,Terminal to terminal,"dClear,TT",10,,,,mm,,,,
IGBT ED3 1200V600A_Module,Comparative tracking index 1),,CTI,> 200,,,,,,,,
IGBT ED3 1200V600A_Module,Module stray inductance,,LsCE,,,18,,nH,,,,
IGBT ED3 1200V600A_Module,Storage temperature,,Tstg,,-40,,125,°C,,,,
IGBT ED3 1200V600A_Module,Mounting torque for module,Screw M5 - Mounting according to valid application note,M,,3,,6,Nm,,,,
IGBT ED3 1200V600A_Module,mounting,Screw M5 - Mounting according to valid application note,M,,3,,6,Nm,,,,
IGBT ED3 1200V600A_Module,Terminal connection torque,Screw M6 - Mounting according to valid application note,M,,3,,6,Nm,,,,
IGBT ED3 1200V600A_Module,Weight,,G,,,340,, g,,,,
