Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
SiC ED3 1200V400A_BODY_DIODE_Maximum Rated Values,Pulsed body diode current,"tp limited by Tj, max",ISD pulse,800,,,,A,,,,
SiC ED3 1200V400A_BODY_DIODE_Maximum Rated Values,,,,,,,,,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Forward voltage,"ISD = 400A, VGS = -5V, Tj = 25°C",VSD,,,5.2,6,V,金貝貝,2024070211580100,,v0702_1
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Forward voltage,"ISD = 400A, VGS = -5V, Tj = 150°C",VSD,,,4.45,6,V,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Forward voltage,"ISD = 400A, VGS = -5V, Tj = 175°C",VSD,,,4.4,6,V,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Peak reverse recovery current,"ISD = 400A, VR = 600V, Tj = 25°C",IRM,,,68,,A,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Peak reverse recovery current,"VGS = -5V, Tj = 175°C",IRM,,,169,,A,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Recovered charge,"ISD = 400A, VR = 600V, Tj = 25°C",Qrr,,,2.2,,μC,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Recovered charge,"VGS = -5V, Tj = 175°C",Qrr,,,7.7,,μC,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Reverse recovery energy,"ISD = 400A, VR = 600V, Tj = 25°C",Erec,,,0.6,,mJ,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Reverse recovery energy,"VGS = -5V, Tj = 175°C",Erec,,,2.3,,mJ,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Reverse recovery energy,-di/dt = 4.1 A/ns (25°C),Erec,,,,,mJ,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,Reverse recovery energy,-di/dt = 4.8 A/ns (175°C),Erec,,,,,mJ,,,,
SiC ED3 1200V400A_BODY_DIODE_Characteristics Values,,,,,,,,,,,,
SiC ED3 1200V400A_NTC-Thermistor,Rated resistance,Tc = 25°C,R25,,,5,,kΩ,鴨立大,2024070211580100,,v0702_1
SiC ED3 1200V400A_NTC-Thermistor,Resistance tolerance,Tc = 100°C,ΔR/R,,-5,,5,%,,,,
SiC ED3 1200V400A_NTC-Thermistor,B-value,R2 = R25 exp,B25/50,,,3375,,K,,,,
SiC ED3 1200V400A_NTC-Thermistor,B-value,[B25/50(1/T2 – 1/(298.15 K))],B25/50,,,3375,,K,,,,
SiC ED3 1200V400A_NTC-Thermistor,B-value,R2 = R25 exp,B25/80,,,3411,,K,,,,
SiC ED3 1200V400A_NTC-Thermistor,B-value,[B25/80(1/T2 – 1/(298.15 K))],B25/80,,,3411,,K,,,,
SiC ED3 1200V400A_NTC-Thermistor,B-value,R2 = R25 exp,B25/100,,,3433,,K,,,,
SiC ED3 1200V400A_NTC-Thermistor,B-value,[B25/100(1/T2 – 1/(298.15 K))],B25/100,,,3433,,K,,,,
SiC ED3 1200V400A_Module,Isolation test voltage,"RMS, f = 0 Hz, t = 1 sec",VISOL,4.2,,,,kV,部佳斑,2024070211580100,,v0702_1
SiC ED3 1200V400A_Module,Module baseplate material,,,Cu + Ni,,,,,,,,
SiC ED3 1200V400A_Module,Module internal isolation material,"Basic isolation (class 1, IEC 61140)",,Si3N4,,,,,,,,
SiC ED3 1200V400A_Module,Creepage distance,Terminal to heatsink,"dCreep,TH",9,,,,mm,,,,
SiC ED3 1200V400A_Module,Creepage distance,Terminal to terminal,"dCreep,TT",9,,,,mm,,,,
SiC ED3 1200V400A_Module,Clearance distance,Terminal to heatsink,"dClear,TH",4.5,,,,mm,,,,
SiC ED3 1200V400A_Module,Clearance distance,Terminal to terminal,"dClear,TT",4.5,,,,mm,,,,
SiC ED3 1200V400A_Module,Comparative tracking index 1),,CTI,> 200,,,,,,,,
SiC ED3 1200V400A_Module,Module stray inductance,,LsDS,,,9,,nH,,,,
SiC ED3 1200V400A_Module,Storage temperature,,Tstg,,-40,,125,°C,,,,
SiC ED3 1200V400A_Module,Mounting torque for module,Screw M4 baseplate to heatsink,M,,1.8,2,,Nm,,,,
SiC ED3 1200V400A_Module,mounting,Screw M4 baseplate to heatsink,M,,1.8,2,,Nm,,,,
SiC ED3 1200V400A_Module,Weight,,G,,,745,, g,,,,
,,,,,,,,,,,,
